id,date,pair,value,data_provenance,source
75,2024-12-24,USD/INR,85.17,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
76,2024-12-27,USD/INR,85.49,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
77,2024-12-30,USD/INR,85.47,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
78,2024-12-31,USD/INR,85.6,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
79,2025-01-02,USD/INR,85.76,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
80,2025-01-03,USD/INR,85.77,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
81,2025-01-06,USD/INR,85.61,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
82,2025-01-07,USD/INR,85.74,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
83,2025-01-08,USD/INR,85.89,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
84,2025-01-09,USD/INR,85.85,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
85,2025-01-10,USD/INR,86.02,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
86,2025-01-13,USD/INR,86.7,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
87,2025-01-14,USD/INR,86.57,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
88,2025-01-15,USD/INR,86.42,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
89,2025-01-16,USD/INR,86.58,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
90,2025-01-17,USD/INR,86.62,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
91,2025-01-20,USD/INR,86.54,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
92,2025-01-21,USD/INR,86.6,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
93,2025-01-22,USD/INR,86.38,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
94,2025-01-23,USD/INR,86.44,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
95,2025-01-24,USD/INR,86.26,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
96,2025-01-27,USD/INR,86.31,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
97,2025-01-28,USD/INR,86.56,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
98,2025-01-29,USD/INR,86.56,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
99,2025-01-30,USD/INR,86.61,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
100,2025-01-31,USD/INR,86.59,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
101,2025-02-03,USD/INR,87.06,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
102,2025-02-04,USD/INR,87.09,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
103,2025-02-05,USD/INR,87.37,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
104,2025-02-06,USD/INR,87.61,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
105,2025-02-07,USD/INR,87.51,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
106,2025-02-10,USD/INR,87.47,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
107,2025-02-11,USD/INR,86.74,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
108,2025-02-12,USD/INR,86.89,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
109,2025-02-13,USD/INR,86.99,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
110,2025-02-14,USD/INR,86.67,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
111,2025-02-17,USD/INR,86.88,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
112,2025-02-18,USD/INR,86.96,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
113,2025-02-19,USD/INR,86.87,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
114,2025-02-20,USD/INR,86.59,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
115,2025-02-21,USD/INR,86.63,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
116,2025-02-24,USD/INR,86.73,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
117,2025-02-25,USD/INR,87.19,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
118,2025-02-26,USD/INR,87.11,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
119,2025-02-27,USD/INR,87.15,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
120,2025-02-28,USD/INR,87.38,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
121,2025-03-03,USD/INR,87.29,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
122,2025-03-04,USD/INR,87.14,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
123,2025-03-05,USD/INR,87.05,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
124,2025-03-06,USD/INR,87.08,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
125,2025-03-07,USD/INR,86.99,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
126,2025-03-10,USD/INR,87.31,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
127,2025-03-11,USD/INR,87.2,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
128,2025-03-12,USD/INR,87.2,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
129,2025-03-13,USD/INR,87.05,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
130,2025-03-14,USD/INR,86.94,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
131,2025-03-17,USD/INR,86.79,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
132,2025-03-18,USD/INR,86.55,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
133,2025-03-19,USD/INR,86.32,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
134,2025-03-20,USD/INR,86.36,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
135,2025-03-21,USD/INR,86.03,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
136,2025-03-24,USD/INR,85.57,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
137,2025-03-25,USD/INR,85.7,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
138,2025-03-26,USD/INR,85.65,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
139,2025-03-27,USD/INR,85.73,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
140,2025-03-28,USD/INR,85.53,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
141,2025-03-31,USD/INR,85.44,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
142,2025-04-01,USD/INR,85.63,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
143,2025-04-02,USD/INR,85.49,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
144,2025-04-03,USD/INR,85.28,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
145,2025-04-04,USD/INR,85.4,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
146,2025-04-07,USD/INR,85.77,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
147,2025-04-08,USD/INR,86.22,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
148,2025-04-09,USD/INR,86.67,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
149,2025-04-10,USD/INR,86.16,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
150,2025-04-11,USD/INR,86.09,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
151,2025-04-14,USD/INR,85.99,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
152,2025-04-15,USD/INR,85.89,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
153,2025-04-16,USD/INR,85.65,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
154,2025-04-17,USD/INR,85.4,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
155,2025-04-22,USD/INR,85.2,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
156,2025-04-23,USD/INR,85.4,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
157,2025-04-24,USD/INR,85.34,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
158,2025-04-25,USD/INR,85.43,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
159,2025-04-28,USD/INR,85.02,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
160,2025-04-29,USD/INR,85.13,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
161,2025-04-30,USD/INR,84.53,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
162,2025-05-02,USD/INR,84.3,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
163,2025-05-05,USD/INR,84.3,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
164,2025-05-06,USD/INR,84.38,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
165,2025-05-07,USD/INR,84.76,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
166,2025-05-08,USD/INR,85.5,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
167,2025-05-09,USD/INR,85.39,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
168,2025-05-12,USD/INR,84.86,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
169,2025-05-13,USD/INR,85.34,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
170,2025-05-14,USD/INR,85.39,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
171,2025-05-15,USD/INR,85.52,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
172,2025-05-16,USD/INR,85.6,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
173,2025-05-19,USD/INR,85.44,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
174,2025-05-20,USD/INR,85.56,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
175,2025-05-21,USD/INR,85.57,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
176,2025-05-22,USD/INR,85.98,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
177,2025-05-23,USD/INR,85.43,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
178,2025-05-26,USD/INR,85.09,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
179,2025-05-27,USD/INR,85.4,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
180,2025-05-28,USD/INR,85.39,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
181,2025-05-29,USD/INR,85.47,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
182,2025-05-30,USD/INR,85.56,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
183,2025-06-02,USD/INR,85.38,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
184,2025-06-03,USD/INR,85.62,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
185,2025-06-04,USD/INR,85.89,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
186,2025-06-05,USD/INR,85.83,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
187,2025-06-06,USD/INR,85.74,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
188,2025-06-09,USD/INR,85.66,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
189,2025-06-10,USD/INR,85.58,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
190,2025-06-11,USD/INR,85.54,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
191,2025-06-12,USD/INR,85.54,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
192,2025-06-13,USD/INR,86.09,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
193,2025-06-16,USD/INR,86.04,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
194,2025-06-17,USD/INR,86.26,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
195,2025-06-18,USD/INR,86.43,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
196,2025-06-19,USD/INR,86.74,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
197,2025-06-20,USD/INR,86.62,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
198,2025-06-23,USD/INR,86.77,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
199,2025-06-24,USD/INR,86.03,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
200,2025-06-25,USD/INR,86.1,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
201,2025-06-26,USD/INR,85.75,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
202,2025-06-27,USD/INR,85.51,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
203,2025-06-30,USD/INR,85.8,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
204,2025-07-01,USD/INR,85.56,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
205,2025-07-02,USD/INR,85.67,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
206,2025-07-03,USD/INR,85.38,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
207,2025-07-04,USD/INR,85.41,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
208,2025-07-07,USD/INR,85.93,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
209,2025-07-08,USD/INR,85.67,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
210,2025-07-09,USD/INR,85.72,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
211,2025-07-10,USD/INR,85.76,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
212,2025-07-11,USD/INR,85.83,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
213,2025-07-14,USD/INR,86.01,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
214,2025-07-15,USD/INR,85.86,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
215,2025-07-16,USD/INR,85.99,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
216,2025-07-17,USD/INR,86.08,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
217,2025-07-18,USD/INR,86.14,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
218,2025-07-21,USD/INR,86.29,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
219,2025-07-22,USD/INR,86.43,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
220,2025-07-23,USD/INR,86.42,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
221,2025-07-24,USD/INR,86.39,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
222,2025-07-25,USD/INR,86.51,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
223,2025-07-28,USD/INR,86.7,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
224,2025-07-29,USD/INR,86.85,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
225,2025-07-30,USD/INR,87.49,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
226,2025-07-31,USD/INR,87.63,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
227,2025-08-01,USD/INR,87.5,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
228,2025-08-04,USD/INR,87.65,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
229,2025-08-05,USD/INR,87.78,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
230,2025-08-06,USD/INR,87.72,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
231,2025-08-07,USD/INR,87.49,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
232,2025-08-08,USD/INR,87.62,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
233,2025-08-11,USD/INR,87.74,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
234,2025-08-12,USD/INR,87.7,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
235,2025-08-13,USD/INR,87.45,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
236,2025-08-14,USD/INR,87.57,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
237,2025-08-15,USD/INR,87.46,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
238,2025-08-18,USD/INR,87.38,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
239,2025-08-19,USD/INR,87.09,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
240,2025-08-20,USD/INR,87.06,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
241,2025-08-21,USD/INR,87.27,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
242,2025-08-22,USD/INR,87.53,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
243,2025-08-25,USD/INR,87.56,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
244,2025-08-26,USD/INR,87.62,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
245,2025-08-27,USD/INR,87.76,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
246,2025-08-28,USD/INR,87.57,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
247,2025-08-29,USD/INR,88.18,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
248,2025-09-01,USD/INR,88.19,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
249,2025-09-02,USD/INR,88.08,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
250,2025-09-03,USD/INR,88.03,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
251,2025-09-04,USD/INR,88.12,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
252,2025-09-05,USD/INR,88.24,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
253,2025-09-08,USD/INR,88.04,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
